193.112.242.26 - - [14/Apr/2019:06:42:39 +0000] "GET /plugins/weathermap/editor.php HTTP/1.1" 404 523 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:39 +0000] "GET /cacti/plugins/weathermap/editor.php HTTP/1.1" 404 529 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:40 +0000] "GET /index.php?s=%2f%69%6e%64%65%78%2f%5c%74%68%69%6e%6b%5c%61%70%70%2f%69%6e%76%6f%6b%65%66%75%6e%63%74%69%6f%6e&function=%63%61%6c%6c%5f%75%73%65%72%5f%66%75%6e%63%5f%61%72%72%61%79&vars[0]=%6d%645&vars[1][]=%48%65%6c%6c%6f%54%68%69%6e%6b%50\x80\x96\x98 HTTP/1.1" 404 503 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:42 +0000] "GET /d7.php HTTP/1.1" 404 500 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:43 +0000] "GET /rxr.php HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:43 +0000] "GET /1x.php HTTP/1.1" 404 500 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:43 +0000] "GET /home.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:43 +0000] "GET /undx.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:44 +0000] "GET /spider.php HTTP/1.1" 404 504 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:44 +0000] "GET /payload.php HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:44 +0000] "GET /composers.php HTTP/1.1" 404 507 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:46 +0000] "GET /izom.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:47 +0000] "GET /composer.php HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:47 +0000] "GET /hue2.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:47 +0000] "GET /Drupal.php HTTP/1.1" 404 504 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:47 +0000] "GET /lang.php?f=1 HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:48 +0000] "GET /izom.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:49 +0000] "GET /payload.php HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:49 +0000] "GET /new_license.php HTTP/1.1" 404 509 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:51 +0000] "GET /images/!.php HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:51 +0000] "GET /images/vuln.php HTTP/1.1" 404 509 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:52 +0000] "POST /wuwu11.php HTTP/1.1" 404 504 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:54 +0000] "POST /xw.php HTTP/1.1" 404 500 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:55 +0000] "POST /xw1.php HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:55 +0000] "POST /9678.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:55 +0000] "POST /wc.php HTTP/1.1" 404 500 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:56 +0000] "POST /xx.php HTTP/1.1" 404 500 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:56 +0000] "POST /s.php HTTP/1.1" 404 499 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:56 +0000] "POST /w.php HTTP/1.1" 404 499 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:57 +0000] "POST /sheep.php HTTP/1.1" 404 503 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
